День недели,Группа,Unnamed: 2,Unnamed: 3,Unnamed: 4,ИВБО-13-21,ВТ,"09.03.01 
ЦКСиС",10,Unnamed: 9,ИВБО-01-21,ВТ.1,"09.03.01 
ЦКСиС.1",31,Unnamed: 14,День недели.1,Группа.1,Unnamed: 17,Unnamed: 18,Unnamed: 19,ИВБО-02-21,"ВТ
232","09.03.01 
ЦКСиС.2",30,Unnamed: 24,ИВБО-03-21,"ВТ
244","09.03.01 
ЦКСиС.3",31.1,Unnamed: 29,День недели.2,Группа.2,Unnamed: 32,Unnamed: 33,Unnamed: 34,ИВБО-04-21,ВТ.2,"09.03.01 
ЦКСиС.4",32,Unnamed: 39,ИВБО-05-21,ВТ.3,"09.03.01 
ЦКСиС.5",30.1,Unnamed: 44,День недели.3,Группа.3,Unnamed: 47,Unnamed: 48,Unnamed: 49,ИВБО-07-21,ВТ.4,"09.03.01 
ЦКСиС.6",28,Unnamed: 54,ИВБО-06-21,ВТ.5,"09.03.01 
ИИТ",29,Unnamed: 59,День недели.4,Группа.4,Unnamed: 62,Unnamed: 63,Unnamed: 64,ИВБО-08-21,ВТ.6,"09.03.01 
ИИТ.1",32.1,Unnamed: 69,ИКБО-04-21,ВТ.7,"09.03.04
СППР",30.2,Unnamed: 74,День недели.5,Группа.5,Unnamed: 77,Unnamed: 78,Unnamed: 79,ИКБО-05-21,"ВТ
250","09.03.04
СППР.1",28.1,Unnamed: 84,ИКБО-14-21,ВТ.8,"09.03.04
СППР.2",25,Unnamed: 89,День недели.6,Группа.6,Unnamed: 92,Unnamed: 93,Unnamed: 94,ИКБО-15-21,ВТ.9,"09.03.04
СППР.3",29.1,Unnamed: 99,ИКБО-22-21,ВТ.10,"09.03.04
СППР.4",29.2,Unnamed: 104,День недели.7,Группа.7,Unnamed: 107,Unnamed: 108,Unnamed: 109,ИКБО-06-21,МОСИТ,"09.03.04
СиПИ",30.3,Unnamed: 114,ИКБО-07-21,МОСИТ.1,"09.03.04
СиПИ.1",27,Unnamed: 119,День недели.8,Группа.8,Unnamed: 122,Unnamed: 123,Unnamed: 124,ИКБО-11-21,ИТвАЭ,"09.03.04
СиПИ.2",28.2,Unnamed: 129,ИКБО-12-21,МОСИТ.2,"09.03.04
СиПИ.3",28.3,Unnamed: 134,День недели.9,Группа.9,Unnamed: 137,Unnamed: 138,Unnamed: 139,ИКБО-25-21,МОСИТ.3,"09.03.04
СиПИ.4",29.3,Unnamed: 144,ИКБО-26-21,МОСИТ.4,"09.03.04
СиПИ.5",30.4,Unnamed: 149,День недели.10,Группа.10,Unnamed: 152,Unnamed: 153,Unnamed: 154,ИКБО-27-21,МОСИТ.5,"09.03.04
СиПИ.6",30.5,Unnamed: 159,ИКБО-28-21,МОСИТ.6,"09.03.04
СиПИ.7",30.6,Unnamed: 164,День недели.11,Группа.11,Unnamed: 167,Unnamed: 168,Unnamed: 169,ИКБО-32-21,МОСИТ.7,"09.03.04
СиПИ.8",29.4,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,День недели.12,Группа.12,Unnamed: 182,Unnamed: 183,Unnamed: 184,ИКБО-08-21,КИС,"09.03.04
ИСУРП",29.5,Unnamed: 189,ИКБО-09-21,КИС.1,"09.03.04
ИСУРП.1",29.6,Unnamed: 194,День недели.13,Группа.13,Unnamed: 197,Unnamed: 198,Unnamed: 199,ИКБО-17-21,ИТвАЭ.1,"09.03.04
ИСУРП.2",23,Unnamed: 204,ИКБО-18-21,КИС.2,"09.03.04
ИСУРП.3",26,Unnamed: 209,День недели.14,Группа.14,Unnamed: 212,Unnamed: 213,Unnamed: 214,ИКБО-19-21,КИС.3,"09.03.04
ИСУРП.4",29.7,Unnamed: 219,ИКБО-21-21,КИС.4,"09.03.04
ИСУРП.5",29.8,Unnamed: 224,День недели.15,Группа.15,Unnamed: 227,Unnamed: 228,Unnamed: 229,ИКБО-23-21,КИС.5,"09.03.04
ИСУРП.6",30.7,Unnamed: 234,ИКБО-29-21,КИС.6,"09.03.04
ИСУРП.7",29.9,Unnamed: 239,День недели.16,Группа.16,Unnamed: 242,Unnamed: 243,Unnamed: 244,ИКБО-30-21,КИС.7,"09.03.04
ИСУРП.8",28.4,Unnamed: 249,ИКБО-31-21,ИТвАЭ.2,"09.03.04
ИСУРП.9",26.1,Unnamed: 254,День недели.17,Группа.17,Unnamed: 257,Unnamed: 258,Unnamed: 259,ИКБО-01-21,ИППО,"09.03.04
РППиПИС",30.8,Unnamed: 264,ИКБО-02-21,"ИППО
231","09.03.04
РППиПИС.1",28.5,Unnamed: 269,День недели.18,Группа.18,Unnamed: 272,Unnamed: 273,Unnamed: 274,ИКБО-10-21,ИППО.1,"09.03.04
РППиПИС.2",29.10,Unnamed: 279,ИКБО-16-21,ИППО.2,"09.03.04
РППиПИС.3",29.11,Unnamed: 284,День недели.19,Группа.19,Unnamed: 287,Unnamed: 288,Unnamed: 289,ИКБО-20-21,ИППО.3,"09.03.04
РППиПИС.4",25.1,Unnamed: 294,ИКБО-24-21,ИППО.4,"09.03.04
РППиПИС.5",28.6,Unnamed: 299,День недели.20,Группа.20,Unnamed: 302,Unnamed: 303,Unnamed: 304,Unnamed: 305,Unnamed: 306,Unnamed: 307,Unnamed: 308,Unnamed: 309,ИКБО-03-21,ИППО.5,"09.03.04
РиДКИиМП",30.9,Unnamed: 314,День недели.21,Группа.21,Unnamed: 317,Unnamed: 318,Unnamed: 319,ИКБО-13-21,ИППО.6,"09.03.04
РиДКИиМП.1",28.7,Unnamed: 324,ИКБО-33-21,ИППО.7,"09.03.04
РиДКИиМП.2",28.8,Unnamed: 329,День недели.22,Группа.22,Unnamed: 332,Unnamed: 333,Unnamed: 334,ИМБО-01-21,ПМ,"01.03.04
АД",29.12,Unnamed: 339,ИМБО-02-21,"ПМ
257","01.03.04
АД.1",27.1,Unnamed: 344,День недели.23,Группа.23,Unnamed: 347,Unnamed: 348,Unnamed: 349,ИНБО-05-21,ПМ.1,"09.03.03
УД",30.10,Unnamed: 354,ИНБО-06-21,ПМ.2,"09.03.03
УД.1",29.13,Unnamed: 359,День недели.24,Группа.24,Unnamed: 362,Unnamed: 363,Unnamed: 364,ИНБО-10-21,ПМ.3,"09.03.03
УД.2",29.14,Unnamed: 369,ИНБО-13-21,ПМ.4,"09.03.03
УД.3",30.11,Unnamed: 374,День недели.25,Группа.25,Unnamed: 377,Unnamed: 378,Unnamed: 379,ИНБО-01-21,ППИ,"09.03.03
ИО",30.12,Unnamed: 384,ИНБО-02-21,"ППИ
239","09.03.03
ИО.1",30.13,Unnamed: 389,День недели.26,Группа.26,Unnamed: 392,Unnamed: 393,Unnamed: 394,ИНБО-03-21,"ППИ
256","09.03.03
ИО.2",31.2,Unnamed: 399,ИНБО-04-21,ППИ.1,"09.03.03
ИО.3",30.14,Unnamed: 404,День недели.27,Группа.27,Unnamed: 407,Unnamed: 408,Unnamed: 409,ИНБО-09-21,ППИ.2,"09.03.03
ИО.4",32.2,Unnamed: 414,ИНБО-11-21,ППИ.3,"09.03.03
ИО.5",30.15,Unnamed: 419,День недели.28,Группа.28,Unnamed: 422,Unnamed: 423,Unnamed: 424,ИНБО-07-21,ППИ.4,"09.03.03
ЦТ",29.15,Unnamed: 429,ИНБО-08-21,ППИ.5,"09.03.03
ЦТ.1",30.16,Unnamed: 434,День недели.29,Группа.29,Unnamed: 437,Unnamed: 438,Unnamed: 439,ИНБО-12-21,ППИ.6,"09.03.03
ЦТ.2",30.17,Unnamed: 444,Unnamed: 445,Unnamed: 446,Unnamed: 447,Unnamed: 448,Unnamed: 449
,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка
ПОНЕДЕЛЬНИК,1,9-00,10-30,I,"кр. 1 н. Схемотехника устройств компьютерных систем
",Л,Тарасов И.Е.,ауд. A-1 (В-78),,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,"кр. 1 н. Электротехника
",ЛБ,,лаб. М-106 (В-86),,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,,,,,,"5,9,13,17 н. Электротехника
",П,,лаб. М-105 (В-86),,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,"3-9 н. Информационно-технологическая инфраструктура
",П,Миронов А.Н.,комп. И-201 (В-78),,"кр. 1 н. Иностранный язык

кр. 1 н. Иностранный язык
","П

П","

","ауд. И-300 (В-78)

ауд. И-308 (В-78)","

",ПОНЕДЕЛЬНИК,1,9-00,10-30,I,"3,7,11,15 н. Электротехника
",П,,лаб. М-105 (В-86),,"кр. 1 н. Теория формальных языков
",П,Боронников А.С.,комп. Г-111б (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,"кр. 1 н. Физическая культура и спорт (элективная дисциплина)
",П,,физ. ФОК-6 (В-78),,"кр. 1 н. Математический анализ
",П,,ауд. В-212 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,"кр. 1 н. Иностранный язык

кр. 1 н. Иностранный язык
","П

П","

","ауд. И-324 (В-78)

ауд. И-306 (В-78)","

",,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,"кр. 1 н. Математический анализ
",Л,,ауд. А-18 (В-78),,"кр. 1 н. Математический анализ
",Л,,ауд. А-18 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,"кр. 1 н. Математический анализ
",Л,,ауд. А-18 (В-78),,"кр. 1 н. Математический анализ
",Л,,ауд. А-18 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,"кр. 1 н. Математический анализ
",Л,,ауд. А-18 (В-78),,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,,,,,,"кр. 1 н. Вычислительная математика
",П,,ауд. А-150 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,"кр. 1 н. Физическая культура и спорт (элективная дисциплина)
",П,,физ. ФОК-9 (В-78),,"кр. 1 н. Программирование на языке Джава
",П,,комп. ивц-104 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,"кр. 1 н. Физическая культура и спорт (элективная дисциплина)
",П,,физ. ФОК-4 (В-78),,"кр. 1 н. Математический анализ
",П,,ауд. А-311 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,"кр. 1 н. Иностранный язык

кр. 1 н. Иностранный язык
","П

П","

","ауд. И-322 (В-78)

ауд. И-312 (В-78)","

","кр. 1 н. Иностранный язык

кр. 1 н. Иностранный язык
","П

П","

","ауд. И-323 (В-78)

ауд. И-320 (В-78)","

",ПОНЕДЕЛЬНИК,1,9-00,10-30,I,"кр. 1 н. Иностранный язык

кр. 1 н. Иностранный язык
","П

П","

","ауд. И-330 (В-78)

ауд. И-303 (В-78)","

","кр. 1 н. Физическая культура и спорт (элективная дисциплина)
",П,,физ. ФОК-3 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,,,,,,"кр. 1 н. Иностранный язык

кр. 1 н. Иностранный язык
","П

П","

","ауд. И-325 (В-78)

ауд. И-333 (В-78)","

",ПОНЕДЕЛЬНИК,1,9-00,10-30,I,"кр. 1 н. Разработка клиентских частей интернет ресурсов
",П,Братусь Н.В.,комп. Г-227-1 (В-78),,"кр. 1 н. Разработка клиентских частей интернет ресурсов
",П,Рачков А.В.,комп. Г-226-2 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,,,,,,"кр. 1 н. Разработка клиентских частей интернет ресурсов
",П,Русляков А.А.,комп. Г-227-2 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,,,,,,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,"кр. 1 н. Физическая культура и спорт (элективная дисциплина)
",П,,физ. ФОК-7 (В-78),,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,"кр. 1 н. Основы численных методов
",П,Кишкин С.А.,ауд. А-173 (В-78),,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,,,,,,"кр. 1 н. Физическая культура и спорт (элективная дисциплина)
",П,,физ. ФОК-1 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,"кр. 1 н. Программирование на языке Джава
",П,,комп. ивц-103 (В-78),,"кр. 1 н. Программирование на языке Джава
",П,,комп. ивц-102 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,"кр. 1 н. Информационно-технологическая инфраструктура
",П,Свищёв А.В.,комп. И-212-г (В-78),,"кр. 1 н. Структуры и алгоритмы обработки данных
",П,,комп. ивц-110 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,"кр. 1 н. Информационно-технологическая инфраструктура
",П,Исаев Р.А.,комп. И-212-д (В-78),,"кр. 1 н. Иностранный язык
",П,Нанай Ф.А.,ауд. Б-402 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,"кр. 1 н. Физическая культура и спорт (элективная дисциплина)
",П,,физ. ФОК-8 (В-78),,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,,,,,,,,,,
ПОНЕДЕЛЬНИК,1,9-00,10-30,II,"Схемотехника устройств компьютерных систем
",Л,Тарасов И.Е.,ауд. A-1 (В-78),,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,"2,6,10,14 н. Электротехника
",П,,лаб. М-106 (В-86),,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,,,,,,"Электротехника
1п/г,2п/г",ЛБ,,лаб. М-105 (В-86),,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,"2-8 н. Информационно-технологическая инфраструктура
",П,Миронов А.Н.,комп. И-201 (В-78),,"Иностранный язык

Иностранный язык
","П

П","

","ауд. И-300 (В-78)

ауд. И-308 (В-78)","

",ПОНЕДЕЛЬНИК,1,9-00,10-30,II,"Электротехника
1п/г,2п/г",ЛБ,,лаб. М-110 (В-86),,"Теория формальных языков
",П,Боронников А.С.,комп. Г-111б (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,"Физическая культура и спорт (элективная дисциплина)
",П,,физ. ФОК-6 (В-78),,"Математический анализ
",П,,ауд. В-212 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,"Иностранный язык

Иностранный язык
","П

П","

","ауд. И-324 (В-78)

ауд. И-306 (В-78)","

",,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,"Математический анализ
",Л,,ауд. А-18 (В-78),,"Математический анализ
",Л,,ауд. А-18 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,"Математический анализ
",Л,,ауд. А-18 (В-78),,"Математический анализ
",Л,,ауд. А-18 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,"Математический анализ
",Л,,ауд. А-18 (В-78),,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,,,,,,"Вычислительная математика
",П,,ауд. А-150 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,"Физическая культура и спорт (элективная дисциплина)
",П,,физ. ФОК-9 (В-78),,"Программирование на языке Джава
",П,,комп. ивц-104 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,"Физическая культура и спорт (элективная дисциплина)
",П,,физ. ФОК-4 (В-78),,"Математический анализ
",П,,ауд. А-311 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,"Иностранный язык

Иностранный язык
","П

П","

","ауд. И-322 (В-78)

ауд. И-312 (В-78)","

","Иностранный язык

Иностранный язык
","П

П","

","ауд. И-323 (В-78)

ауд. И-320 (В-78)","

",ПОНЕДЕЛЬНИК,1,9-00,10-30,II,"Иностранный язык

Иностранный язык
","П

П","

","ауд. И-330 (В-78)

ауд. И-303 (В-78)","

","Физическая культура и спорт (элективная дисциплина)
",П,,физ. ФОК-3 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,,,,,,"Иностранный язык

Иностранный язык
","П

П","

","ауд. И-325 (В-78)

ауд. И-333 (В-78)","

",ПОНЕДЕЛЬНИК,1,9-00,10-30,II,"Разработка клиентских частей интернет ресурсов
",П,Братусь Н.В.,комп. Г-227-1 (В-78),,"Разработка клиентских частей интернет ресурсов
",П,Рачков А.В.,комп. Г-226-2 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,,,,,,"Разработка клиентских частей интернет ресурсов
",П,Русляков А.А.,комп. Г-227-2 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,,,,,,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,"Физическая культура и спорт (элективная дисциплина)
",П,,физ. ФОК-7 (В-78),,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,"Основы численных методов
",П,Кишкин С.А.,ауд. А-173 (В-78),,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,,,,,,"Физическая культура и спорт (элективная дисциплина)
",П,,физ. ФОК-1 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,"Программирование на языке Джава
",П,,комп. ивц-103 (В-78),,"Программирование на языке Джава
",П,,комп. ивц-102 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,"Информационно-технологическая инфраструктура
",П,Свищёв А.В.,комп. И-212-г (В-78),,"Структуры и алгоритмы обработки данных
",П,,комп. ивц-110 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,"Информационно-технологическая инфраструктура
",П,Исаев Р.А.,комп. И-212-д (В-78),,"Иностранный язык
",П,Нанай Ф.А.,ауд. Б-402 (В-78),,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,"Физическая культура и спорт (элективная дисциплина)
",П,,физ. ФОК-8 (В-78),,,,,,,ПОНЕДЕЛЬНИК,1,9-00,10-30,II,,,,,,,,,,
