месяц,число,ИАБО-01-19,время,№                      ауд,Ссылка,ИАБО-02-19,время,№                      ауд,Ссылка,ИВБО-07-19,время,№                      ауд,Ссылка,ИВБО-09-19,время,№                      ауд,Ссылка,месяц,число,ИВБО-10-19,время,№                      ауд,Ссылка,ИВБО-11-19,время,№                      ауд,Ссылка,ИВБО-01-19,время,№                      ауд,Ссылка,ИВБО-04-19,время,№                      ауд,Ссылка,месяц,число,ИВБО-05-19,время,№                      ауд,Ссылка,ИВБО-06-19,время,№                      ауд,Ссылка,ИВБО-02-19,время,№                      ауд,Ссылка,ИВБО-03-19,время,№                      ауд,Ссылка,месяц,число,ИКБО-04-19,время,№                      ауд,Ссылка,ИКБО-05-19,время,№                      ауд,Ссылка,ИКБО-14-19,время,№                      ауд,Ссылка,ИКБО-15-19,время,№                      ауд,Ссылка,месяц,число,ИКБО-06-19,время,№                      ауд,Ссылка,ИКБО-07-19,время,№                      ауд,Ссылка,ИКБО-11-19,время,№                      ауд,Ссылка,ИКБО-12-19,время,№                      ауд,Ссылка,месяц,число,ИКБО-25-19,время,№                      ауд,Ссылка,ИКБО-08-19,время,№                      ауд,Ссылка,ИКБО-09-19,время,№                      ауд,Ссылка,ИКБО-17-19,время,№                      ауд,Ссылка,месяц,число,ИКБО-18-19,время,№                      ауд,Ссылка,ИКБО-01-19,время,№                      ауд,Ссылка,ИКБО-03-19,время,№                      ауд,Ссылка,ИКБО-10-19,время,№                      ауд,Ссылка,месяц,число,ИКБО-13-19,время,№                      ауд,Ссылка,ИКБО-16-19,время,№                      ауд,Ссылка,ИКБО-20-19,время,№                      ауд,Ссылка,ИКБО-24-19,время,№                      ауд,Ссылка,месяц,число,ИКБО-02-19,время,№                      ауд,Ссылка,ИМБО-01-19,время,№                      ауд,Ссылка,ИНБО-05-19,время,№                      ауд,Ссылка,ИНБО-06-19,время,№                      ауд,Ссылка,месяц,число,ИНБО-01-19,время,№                      ауд,Ссылка,ИНБО-04-19,время,№                      ауд,Ссылка,ИНБО-07-19,время,№                      ауд,Ссылка,ИНБО-10-19,время,№                      ауд,Ссылка,месяц,число,ИНБО-02-19,время,№                      ауд,Ссылка,,время,№                      ауд,Ссылка,,время,№                      ауд,Ссылка,,время,№                      ауд,Ссылка
Я            Н           В          А          Р          Ь,09 пн,Консультация,13-00,А-9,,Консультация,13-00,А-9,,Консультация,13-00,А-9,,Консультация,13-00,А-9,,Я            Н           В          А          Р          Ь,09 пн,Консультация,13-00,А-9,,Консультация,13-00,А-9,,Консультация,12-00,А-17,,Консультация,12-00,А-17,,Я            Н           В          А          Р          Ь,09 пн,Консультация,12-00,А-17,,Консультация,12-00,А-17,,Консультация,12-00,А-17,,Зачёт,9-00,Г-427,,Я            Н           В          А          Р          Ь,09 пн,,,,,,,,,,,,,,,,,Я            Н           В          А          Р          Ь,09 пн,,,,,,,,,Зачёт,13-00,Г-427,,,,,,Я            Н           В          А          Р          Ь,09 пн,,,,,Консультация,11-00,Б-115,,Консультация,11-00,Б-115,,Консультация,11-00,Б-115,,Я            Н           В          А          Р          Ь,09 пн,Консультация,11-00,Б-115,,,,,,,,,,,,,,Я            Н           В          А          Р          Ь,09 пн,Консультация,11-00,А-2,,Консультация,11-00,А-2,,Консультация,11-00,А-2,,Консультация,11-00,А-2,,Я            Н           В          А          Р          Ь,09 пн,,,,,Консультация,9-00,А-7,,Консультация,9-00,А-7,,Консультация,9-00,А-7,,Я            Н           В          А          Р          Ь,09 пн,,,,,,,,,,,,,,,,,Я            Н           В          А          Р          Ь,09 пн,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Разработка информационно-управляющих систем ,,,,Разработка информационно-управляющих систем ,,,,Надежность программно-аппаратных средств компьютерных систем,,,,Надежность программно-аппаратных средств компьютерных систем,,,,,,Надежность программно-аппаратных средств компьютерных систем,,,,Надежность программно-аппаратных средств компьютерных систем,,,,Разработка и программирование микропроцессорных систем,,,,Геоинформационные технологии в автоматизированных системах обработки информации и управления,,,,,,,,,,,,,,Проектирование и обучение нейронных сетей,,,,Проектирование и обучение нейронных сетей,,,,,,Микросервисная архитектура,,,,Микросервисная архитектура,,,,Микросервисная архитектура,,,,Микросервисная архитектура,,,,,,Микросервисная архитектура,,,,Информационно-технологическая архитектура,,,,Информационно-технологическая архитектура,,,,Информационно-технологическая архитектура,,,,,,Информационно-технологическая архитектура,,,,Технологии виртуализации клиент-серверных приложений,,,,Технологии виртуализации клиент-серверных приложений,,,,Технологии виртуализации клиент-серверных приложений,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Программные средства имитационного моделирования систем,,,,Программные средства имитационного моделирования систем,,,,,,,,,,,,,,,,,,,,,,,,Технологии и инструментарий анализа больших данных,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Томашевская В.С.,,,,Томашевская В.С.,,,,Пономарев А.Н.,,,,Пономарев А.Н.,,,,,,Пономарев А.Н.,,,,Пономарев А.Н.,,,,Бражникова Е.В.,,,,Серебряков И.Е.,,,,,,,,,,,,,,Сорокин А.Б.,,,,Сорокин А.Б.,,,,,,Зуев А.С.,,,,Зуев А.С.,,,,Зуев А.С.,,,,Зуев А.С.,,,,,,Зуев А.С.,,,,Мирзоян Д.И.,,,,Мирзоян Д.И.,,,,Мирзоян Д.И.,,,,,,Мирзоян Д.И.,,,,Волков М.Ю.,,,,Волков М.Ю.,,,,Волков М.Ю.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Митина О.А.,,,,Митина О.А.,,,,,,,,,,,,,,,,,,,,,,,,Митин М.П.,,,,,,,,,,,,,,,
,"18
ср",Консультация,11-00,А-177-1,,Консультация,11-00,А-177-1,,Консультация,9-00,Б-115,,Консультация,9-00,Б-115,,,"18
ср",Консультация,9-00,Б-115,,Консультация,9-00,Б-115,,Экзамен,11-00,Г-110-а,,Экзамен,14-00,Г-110-а,,,"18
ср",,,,,,,,,,,,,,,,,,"18
ср",Экзамен,9-00,Г-111-б,,Экзамен,12-00,Г-111-б,,,,,,,,,,,"18
ср",Экзамен,11-00,Г-304,,Экзамен,14-00,Г-304,,,,,,,,,,,"18
ср",,,,,,,,,,,,,Экзамен,11-00,Г-111-а,,,"18
ср",Экзамен,14-00,Г-111-а,,Экзамен,9-00,Г-227-2,,Экзамен,12-00,Г-227-2,,,,,,,"18
ср",Консультация,9-00,А-7,,Консультация,9-00,А-7,,Консультация,9-00,А-7,,Консультация,9-00,А-7,,,"18
ср",Консультация,10-00,База,,Экзамен,9-00,Г-413,,,,,,,,,,,"18
ср",Консультация,9-00,А-18,,Консультация,9-00,А-18,,Консультация,9-00,А-18,,Консультация,9-00,А-18,,,"18
ср",Консультация,9-00,А-18,,,,,,,,,,,,,
,,Программирование промышленных систем автоматизации,,,,Программирование промышленных систем автоматизации,,,,Цифровые системы управления,,,,Цифровые системы управления,,,,,,Цифровые системы управления,,,,Цифровые системы управления,,,,Надежность программно-аппаратных средств компьютерных систем,,,,Надежность программно-аппаратных средств компьютерных систем,,,,,,,,,,,,,,,,,,,,,,,,Проектирование и обучение нейронных сетей,,,,Проектирование и обучение нейронных сетей,,,,,,,,,,,,,,Микросервисная архитектура,,,,Микросервисная архитектура,,,,,,,,,,,,,,,,,,,,,,,,,,Информационно-технологическая архитектура,,,,,,Информационно-технологическая архитектура,,,,Технологии виртуализации клиент-серверных приложений,,,,Технологии виртуализации клиент-серверных приложений,,,,,,,,,,Имитационное моделирование клиент-серверных приложений,,,,Имитационное моделирование клиент-серверных приложений,,,,Имитационное моделирование клиент-серверных приложений,,,,Имитационное моделирование клиент-серверных приложений,,,,,,Информационные системы мониторинга и управления инцидентами,,,,Программные средства имитационного моделирования систем,,,,,,,,,,,,,,Прогнозно-аналитические системы,,,,Прогнозно-аналитические системы,,,,Прогнозно-аналитические системы,,,,Прогнозно-аналитические системы,,,,,,Прогнозно-аналитические системы,,,,,,,,,,,,,,,
,,Петухов А.М.,,,,Петухов А.М.,,,,Певзнер Л.Д.,,,,Певзнер Л.Д.,,,,,,Певзнер Л.Д.,,,,Певзнер Л.Д.,,,,Пономарев А.Н.,,,,Пономарев А.Н.,,,,,,,,,,,,,,,,,,,,,,,,Сорокин А.Б.,,,,Сорокин А.Б.,,,,,,,,,,,,,,Зуев А.С.,,,,Зуев А.С.,,,,,,,,,,,,,,,,,,,,,,,,,,Мирзоян Д.И.,,,,,,Мирзоян Д.И.,,,,Волков М.Ю.,,,,Волков М.Ю.,,,,,,,,,,Акопов А.С.,,,,Акопов А.С.,,,,Акопов А.С.,,,,Акопов А.С.,,,,,,Синицын А.А.,,,,Митина О.А.,,,,,,,,,,,,,,Скляр А.Я.,,,,Скляр А.Я.,,,,Скляр А.Я.,,,,Скляр А.Я.,,,,,,Скляр А.Я.,,,,,,,,,,,,,,,
,"19
чт",,,,,,,,,,,,,,,,,,"19
чт",,,,,,,,,,,,,,,,,,"19
чт",Экзамен,9-00,Г-110-а,,Экзамен,12-00,Г-110-а,,Консультация,,База,,Консультация,,База,,,"19
чт",Консультация,11-00,А-3,,Консультация,11-00,А-3,,Консультация,11-00,А-3,,Консультация,11-00,А-3,,,"19
чт",,,,,,,,,Экзамен,9-00,Г-304,,Экзамен,12-00,Г-304,,,"19
чт",,,,,Экзамен,9-00,Г-111-а,,Экзамен,12-00,Г-111-а,,,,,,,"19
чт",,,,,,,,,,,,,Экзамен,9-00,Г-227-2,,,"19
чт",,,,,,,,,Экзамен,9-00,Г-226-1,,Экзамен,12-00,Г-226-1,,,"19
чт",Экзамен,10-00,База,,,,,,,,,,,,,,,"19
чт",Экзамен,9-00,Г-413,,Экзамен,12-00,Г-413,,,,,,,,,,,"19
чт",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Надежность программно-аппаратных средств компьютерных систем,,,,Надежность программно-аппаратных средств компьютерных систем,,,,Вычислительные системы реального времени,,,,Разработка автоматизированных систем обработки информации и управления,,,,,,Программирование нейропроцессоров,,,,Программирование нейропроцессоров,,,,Программирование нейропроцессоров,,,,Программирование нейропроцессоров,,,,,,,,,,,,,,Микросервисная архитектура,,,,Микросервисная архитектура,,,,,,,,,,Информационно-технологическая архитектура,,,,Информационно-технологическая архитектура,,,,,,,,,,,,,,,,,,,,,,Технологии виртуализации клиент-серверных приложений,,,,,,,,,,,,,,Имитационное моделирование клиент-серверных приложений,,,,Имитационное моделирование клиент-серверных приложений,,,,,,Информационные системы мониторинга и управления инцидентами,,,,,,,,,,,,,,,,,,Прогнозно-аналитические системы,,,,Прогнозно-аналитические системы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Пономарев А.Н.,,,,Пономарев А.Н.,,,,Ширяев М.В.,,,,Митрушкин Е.И.,,,,,,Тарасов И.Е.,,,,Тарасов И.Е.,,,,Тарасов И.Е.,,,,Тарасов И.Е.,,,,,,,,,,,,,,Зуев А.С.,,,,Зуев А.С.,,,,,,,,,,Мирзоян Д.И.,,,,Мирзоян Д.И.,,,,,,,,,,,,,,,,,,,,,,Волков М.Ю.,,,,,,,,,,,,,,Акопов А.С.,,,,Акопов А.С.,,,,,,Синицын А.А.,,,,,,,,,,,,,,,,,,Скляр А.Я.,,,,Скляр А.Я.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"20
пт",Экзамен,9-00,В-108-1-а,,Экзамен,12-00,В-108-1-а,,Экзамен,9-00,Г--401-2,,Экзамен,12-00,Г--401-2,,,"20
пт",,,,,,,,,Консультация,11-00,Б-115,,Консультация,11-00,Б-115,,,"20
пт",Консультация,11-00,Б-115,,Консультация,11-00,Б-115,,Экзамен,,База,,Экзамен,,База,,,"20
пт",,,,,,,,,Экзамен,11-00,Г-110-а,,Экзамен,14-00,Г-110-а,,,"20
пт",,,,,,,,,,,,,,,,,,"20
пт",Экзамен,9-00,Г-304,,Консультация,13-00,Б-115,,Консультация,13-00,Б-115,,Консультация,13-00,Б-115,,,"20
пт",Консультация,13-00,Б-115,,,,,,,,,,,,,,,"20
пт",Экзамен,9-00,Г-226-1,,Экзамен,12-00,Г-226-1,,,,,,,,,,,"20
пт",,,,,Консультация,9-00,А-3,,Консультация,9-00,А-3,,Консультация,9-00,А-3,,,"20
пт",,,,,,,,,Экзамен,9-00,Г-413,,Экзамен,12-00,Г-413,,,"20
пт",,,,,,,,,,,,,,,,
,,Программирование промышленных систем автоматизации,,,,Программирование промышленных систем автоматизации,,,,Цифровые системы управления,,,,Цифровые системы управления,,,,,,,,,,,,,,Программирование нейропроцессоров,,,,Программирование нейропроцессоров,,,,,,Программирование нейропроцессоров,,,,Программирование нейропроцессоров,,,,Вычислительные системы реального времени,,,,Разработка автоматизированных систем обработки информации и управления,,,,,,,,,,,,,,Программирование нейропроцессоров,,,,Программирование нейропроцессоров,,,,,,,,,,,,,,,,,,,,,,,,Микросервисная архитектура,,,,Разработка кроссплатформенных программных систем,,,,Разработка кроссплатформенных программных систем,,,,Разработка кроссплатформенных программных систем,,,,,,Разработка кроссплатформенных программных систем,,,,,,,,,,,,,,,,,,Имитационное моделирование клиент-серверных приложений,,,,Имитационное моделирование клиент-серверных приложений,,,,,,,,,,,,,,,,,,Модели и методы предиктивной аналитики,,,,Модели и методы предиктивной аналитики,,,,Модели и методы предиктивной аналитики,,,,,,,,,,,,,,Прогнозно-аналитические системы,,,,Прогнозно-аналитические системы,,,,,,,,,,,,,,,,,,,,,
,,Петухов А.М.,,,,Петухов А.М.,,,,Певзнер Л.Д.,,,,Певзнер Л.Д.,,,,,,,,,,,,,,Тарасов И.Е.,,,,Тарасов И.Е.,,,,,,Тарасов И.Е.,,,,Тарасов И.Е.,,,,Ширяев М.В.,,,,Митрушкин Е.И.,,,,,,,,,,,,,,Тарасов И.Е.,,,,Тарасов И.Е.,,,,,,,,,,,,,,,,,,,,,,,,Зуев А.С.,,,,Советов П.Н.,,,,Советов П.Н.,,,,Советов П.Н.,,,,,,Советов П.Н.,,,,,,,,,,,,,,,,,,Акопов А.С.,,,,Акопов А.С.,,,,,,,,,,,,,,,,,,Кузьмин В.И.,,,,Кузьмин В.И.,,,,Кузьмин В.И.,,,,,,,,,,,,,,Скляр А.Я.,,,,Скляр А.Я.,,,,,,,,,,,,,,,,,,,,,
,"21
сб",,,,,,,,,,,,,,,,,,"21
сб",Экзамен,9-00,Г--401-2,,Экзамен,12-00,Г--401-2,,,,,,,,,,,"21
сб",,,,,,,,,,,,,,,,,,"21
сб",Экзамен,9-00,Г-110-а,,Экзамен,12-00,Г-110-а,,,,,,,,,,,"21
сб",Консультация,9-00,Б-115,,Консультация,9-00,Б-115,,Консультация,9-00,Б-115,,Консультация,9-00,Б-115,,,"21
сб",Консультация,9-00,Б-115,,,,,,,,,,,,,,,"21
сб",,,,,Консультация,11-00,А-3,,Консультация,11-00,А-3,,Консультация,11-00,А-3,,,"21
сб",,,,,,,,,,,,,,,,,,"21
сб",,,,,,,,,Экзамен,9-00,Г-427,,Экзамен,12-00,Г-427,,,"21
сб",,,,,,,,,,,,,,,,,,"21
сб",Экзамен,9-00,Г-413,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Цифровые системы управления,,,,Цифровые системы управления,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Программирование нейропроцессоров,,,,Программирование нейропроцессоров,,,,,,,,,,,,,,Оценка параметров функционирования программных систем,,,,Оценка параметров функционирования программных систем,,,,Оценка параметров функционирования программных систем,,,,Оценка параметров функционирования программных систем,,,,,,Оценка параметров функционирования программных систем,,,,,,,,,,,,,,,,,,,,,,Имитационное моделирование клиент-серверных приложений,,,,Имитационное моделирование клиент-серверных приложений,,,,Имитационное моделирование клиент-серверных приложений,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Модели и методы предиктивной аналитики,,,,Модели и методы предиктивной аналитики,,,,,,,,,,,,,,,,,,,,,,,,Прогнозно-аналитические системы,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Певзнер Л.Д.,,,,Певзнер Л.Д.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Тарасов И.Е.,,,,Тарасов И.Е.,,,,,,,,,,,,,,Миронов А.Н.,,,,Миронов А.Н.,,,,Миронов А.Н.,,,,Миронов А.Н.,,,,,,Миронов А.Н.,,,,,,,,,,,,,,,,,,,,,,Акопов А.С.,,,,Акопов А.С.,,,,Акопов А.С.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Кузьмин В.И.,,,,Кузьмин В.И.,,,,,,,,,,,,,,,,,,,,,,,,Скляр А.Я.,,,,,,,,,,,,,,,
,22,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,
,"23
пн",Консультация,11-00,А-177-1,,Консультация,11-00,А-177-1,,,,,,,,,,,"23
пн",,,,,,,,,Экзамен,9-00,Г-110-а,,Экзамен,12-00,Г-110-а,,,"23
пн",,,,,,,,,Консультация,11-00,А-177,,Консультация,11-00,А-177,,,"23
пн",,,,,,,,,,,,,,,,,,"23
пн",Экзамен,9-00,Г-301-б,,Экзамен,12-00,Г-301-б,,,,,,,,,,,"23
пн",,,,,Экзамен,9-00,Г-111-а,,Экзамен,12-00,Г-111-а,,,,,,,"23
пн",,,,,Экзамен,9-00,Г-226-1,,Экзамен,12-00,Г-226-1,,,,,,,"23
пн",Консультация,11-00,А-5,,Консультация,11-00,А-5,,Консультация,11-00,А-5,,Консультация,11-00,А-5,,,"23
пн",Консультация,10-00,База,,Экзамен,9-00,Г-427,,,,,,,,,,,"23
пн",,,,,,,,,,,,,,,,,,"23
пн",,,,,,,,,,,,,,,,
,,Автоматизация технологических процессов и производств,,,,Автоматизация технологических процессов и производств,,,,,,,,,,,,,,,,,,,,,,Программирование нейропроцессоров,,,,Программирование нейропроцессоров,,,,,,,,,,,,,,Проектирование вычислительных комплексов,,,,Проектирование вычислительных комплексов,,,,,,,,,,,,,,,,,,,,,,,,Оценка параметров функционирования программных систем,,,,Оценка параметров функционирования программных систем,,,,,,,,,,,,,,,,,,Разработка кроссплатформенных программных систем,,,,Разработка кроссплатформенных программных систем,,,,,,,,,,,,,,Имитационное моделирование клиент-серверных приложений,,,,Имитационное моделирование клиент-серверных приложений,,,,,,,,,,Проектирование клиент-серверных систем,,,,Проектирование клиент-серверных систем,,,,Проектирование клиент-серверных систем,,,,Проектирование клиент-серверных систем,,,,,,Имитационное моделирование информационных систем,,,,Модели и методы предиктивной аналитики,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Руднева Л.Ю.,,,,Руднева Л.Ю.,,,,,,,,,,,,,,,,,,,,,,Тарасов И.Е.,,,,Тарасов И.Е.,,,,,,,,,,,,,,Коваленко С.М.,,,,Коваленко С.М.,,,,,,,,,,,,,,,,,,,,,,,,Миронов А.Н.,,,,Миронов А.Н.,,,,,,,,,,,,,,,,,,Советов П.Н.,,,,Советов П.Н.,,,,,,,,,,,,,,Акопов А.С.,,,,Акопов А.С.,,,,,,,,,,Лобанов А.А.,,,,Лобанов А.А.,,,,Лобанов А.А.,,,,Лобанов А.А.,,,,,,Сухов И.В.,,,,Кузьмин В.И.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"24
вт",,,,,,,,,,,,,,,,,,"24
вт",,,,,,,,,,,,,,,,,,"24
вт",Экзамен,9-00,Г-110-а,,Экзамен,12-00,Г-110-а,,Экзамен,11-00,Г-111б,,Экзамен,14-00,Г-111б,,,"24
вт",,,,,,,,,,,,,,,,,,"24
вт",,,,,,,,,Экзамен,9-00,Г-301-б,,Экзамен,12-00,Г-301-б,,,"24
вт",,,,,,,,,,,,,Экзамен,9-00,Г-111-а,,,"24
вт",Экзамен,12-00,Г-111-а,,,,,,,,,,Экзамен,9-00,Г-226-1,,,"24
вт",,,,,,,,,Экзамен,11-00,Г-227-2,,Экзамен,14-00,Г-227-2,,,"24
вт",Экзамен,10-00,База,,Консультация,9-00,А-4,,Консультация,9-00,А-4,,Консультация,9-00,А-4,,,"24
вт",Консультация,9-00,А-16,,Консультация,9-00,А-16,,Консультация,9-00,А-16,,Консультация,9-00,А-16,,,"24
вт",Консультация,9-00,А-16,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Программирование нейропроцессоров,,,,Программирование нейропроцессоров,,,,Проектирование вычислительных комплексов,,,,Проектирование вычислительных комплексов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Оценка параметров функционирования программных систем,,,,Оценка параметров функционирования программных систем,,,,,,,,,,,,,,,,,,Разработка кроссплатформенных программных систем,,,,,,Разработка кроссплатформенных программных систем,,,,,,,,,,,,Имитационное моделирование клиент-серверных приложений,,,,,,,,,,,,,,Проектирование клиент-серверных систем,,,,Проектирование клиент-серверных систем,,,,,,Имитационное моделирование информационных систем,,,,Прогнозно-аналитические системы,,,,Прогнозно-аналитические системы,,,,Прогнозно-аналитические системы,,,,,,Проектирование предметно-ориентированных информационных систем,,,,Проектирование предметно-ориентированных информационных систем,,,,Проектирование предметно-ориентированных информационных систем,,,,Проектирование предметно-ориентированных информационных систем,,,,,,Проектирование предметно-ориентированных информационных систем,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Тарасов И.Е.,,,,Тарасов И.Е.,,,,Расулов М.М.,,,,Расулов М.М.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Миронов А.Н.,,,,Миронов А.Н.,,,,,,,,,,,,,,,,,,Советов П.Н.,,,,,,Советов П.Н.,,,,,,,,,,,,Акопов А.С.,,,,,,,,,,,,,,Лобанов А.А.,,,,Лобанов А.А.,,,,,,Сухов И.В.,,,,Скляр А.Я.,,,,Скляр А.Я.,,,,Скляр А.Я.,,,,,,Смоленцева Т.Е.,,,,Смоленцева Т.Е.,,,,Смоленцева Т.Е.,,,,Смоленцева Т.Е.,,,,,,Смоленцева Т.Е.,,,,,,,,,,,,,,,
,"25
ср",Экзамен,9-00,А-218,,Экзамен,12-00,А-218,,Консультация,13-00,Б-115,,Консультация,13-00,Б-115,,,"25
ср",Консультация,13-00,Б-115,,Консультация,13-00,Б-115,,,,,,,,,,,"25
ср",,,,,,,,,,,,,,,,,,"25
ср",,,,,,,,,,,,,,,,,,"25
ср",,,,,,,,,,,,,,,,,,"25
ср",Экзамен,9-00,Г-301-б,,Консультация,11-00,Б-115,,Консультация,11-00,Б-115,,Консультация,11-00,Б-115,,,"25
ср",Консультация,11-00,Б-115,,,,,,,,,,,,,,,"25
ср",Экзамен,9-00,Г-227-2,,Экзамен,12-00,Г-227-2,,,,,,,,,,,"25
ср",,,,,,,,,Экзамен,9-00,Г-413,,Экзамен,12-00,Г-413,,,"25
ср",Экзамен,9-00,Г-310,,Экзамен,12-00,Г-310,,,,,,,,,,,"25
ср",,,,,,,,,,,,,,,,
,,Автоматизация технологических процессов и производств,,,,Автоматизация технологических процессов и производств,,,,Проектирование информационно-управляющих систем,,,,Проектирование информационно-управляющих систем,,,,,,Проектирование информационно-управляющих систем,,,,Проектирование информационно-управляющих систем,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Оценка параметров функционирования программных систем,,,,Проектирование систем управления ресурсами предприятий,,,,Проектирование систем управления ресурсами предприятий,,,,Проектирование систем управления ресурсами предприятий,,,,,,Проектирование систем управления ресурсами предприятий,,,,,,,,,,,,,,,,,,Проектирование клиент-серверных систем,,,,Проектирование клиент-серверных систем,,,,,,,,,,,,,,,,,,,,,,Прогнозно-аналитические системы,,,,Прогнозно-аналитические системы,,,,,,Проектирование предметно-ориентированных информационных систем,,,,Проектирование предметно-ориентированных информационных систем,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Руднева Л.Ю.,,,,Руднева Л.Ю.,,,,Володина А.М.,,,,Володина А.М.,,,,,,Володина А.М.,,,,Володина А.М.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Миронов А.Н.,,,,Тарасов И.Е.,,,,Тарасов И.Е.,,,,Тарасов И.Е.,,,,,,Тарасов И.Е.,,,,,,,,,,,,,,,,,,Лобанов А.А.,,,,Лобанов А.А.,,,,,,,,,,,,,,,,,,,,,,Скляр А.Я.,,,,Скляр А.Я.,,,,,,Смоленцева Т.Е.,,,,Смоленцева Т.Е.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"26
чт",,,,,,,,,,,,,,,,,,"26
чт",,,,,,,,,Консультация,9-00,Б-115,,Консультация,9-00,Б-115,,,"26
чт",Консультация,9-00,Б-115,,Консультация,9-00,Б-115,,Консультация,,База,,Консультация,,База,,,"26
чт",,,,,,,,,,,,,,,,,,"26
чт",Консультация,11-00,Б-115,,Консультация,11-00,Б-115,,Консультация,11-00,Б-115,,Консультация,11-00,Б-115,,,"26
чт",Консультация,11-00,Б-115,,Экзамен,11-00,Г-110-а,,Экзамен,14-00,Г-110-а,,,,,,,"26
чт",,,,,Консультация,9-00,А-4,,Консультация,9-00,А-4,,Консультация,9-00,А-4,,,"26
чт",,,,,,,,,,,,,,,,,,"26
чт",Консультация,10-00,База,,Экзамен,9-00,Г-413,,,,,,,,,,,"26
чт",,,,,,,,,Экзамен,9-00,Г-310,,Экзамен,12-00,Г-310,,,"26
чт",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Проектирование вычислительных комплексов,,,,Проектирование вычислительных комплексов,,,,,,Проектирование вычислительных комплексов,,,,Проектирование вычислительных комплексов,,,,Тепломассообмен в электронно-вычислительной технике ,,,,Инструментальные средства для автоматизированных систем обработки информации и управления,,,,,,,,,,,,,,,,,,,,,,,,Проектирование программных систем,,,,Проектирование программных систем,,,,Проектирование программных систем,,,,Проектирование программных систем,,,,,,Проектирование программных систем,,,,Проектирование систем управления ресурсами предприятий,,,,Проектирование систем управления ресурсами предприятий,,,,,,,,,,,,,,Проектирование клиент-серверных систем,,,,Проектирование клиент-серверных систем,,,,Проектирование клиент-серверных систем,,,,,,,,,,,,,,,,,,,,,,,,Проектирование клиент-серверных приложений,,,,Прогнозно-аналитические системы,,,,,,,,,,,,,,,,,,,,,,Проектирование предметно-ориентированных информационных систем,,,,Проектирование предметно-ориентированных информационных систем,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Коваленко С.М.,,,,Коваленко С.М.,,,,,,Коваленко С.М.,,,,Коваленко С.М.,,,,Сухов В.В.,,,,Лунев А.В.,,,,,,,,,,,,,,,,,,,,,,,,Туманова М.Б.,,,,Туманова М.Б.,,,,Туманова М.Б.,,,,Туманова М.Б.,,,,,,Туманова М.Б.,,,,Тарасов И.Е.,,,,Тарасов И.Е.,,,,,,,,,,,,,,Лобанов А.А.,,,,Лобанов А.А.,,,,Лобанов А.А.,,,,,,,,,,,,,,,,,,,,,,,,Сухов И.В.,,,,Скляр А.Я.,,,,,,,,,,,,,,,,,,,,,,Смоленцева Т.Е.,,,,Смоленцева Т.Е.,,,,,,,,,,,,,,,,,,,,,
